统一社会信用代码,企业标准名,原始名称,名称类型
91441403MAEN9NC36C,广东振曜低空经济发展有限公司,振曜低空经济发展,简称
91441625MAEQ20YF65,河源市畅飞低空经济发展有限公司,河源市畅飞低空经济发展有限公司,标准名
91441625MAEQ20YF65,河源市畅飞低空经济发展有限公司,河源市畅飞低空经济发展,简称
91440300MAENB5330E,深圳联全低空经济有限公司,深圳联全低空经济有限公司,标准名
91440300MAENB5330E,深圳联全低空经济有限公司,联全低空经济,简称
91441900MAEP6P7T8Y,广东广宏低空经济有限公司,广东广宏低空经济有限公司,标准名
91441900MAEP6P7T8Y,广东广宏低空经济有限公司,广宏低空经济,简称
91441900MAEQQ4YH4G,广东金凯低空经济发展有限公司,广东金凯低空经济发展有限公司,标准名
91441900MAEQQ4YH4G,广东金凯低空经济发展有限公司,金凯低空经济发展,简称
91440300MAEPW6R08E,深圳蜂网低空经济产业控股有限公司,深圳蜂网低空经济产业控股有限公司,标准名
91440300MAEPW6R08E,深圳蜂网低空经济产业控股有限公司,蜂网低空经济产业控股,简称
91441402MAEPYGBE9N,天链(梅州)低空经济发展有限公司,天链(梅州)低空经济发展有限公司,标准名
91441402MAEPYGBE9N,天链(梅州)低空经济发展有限公司,天链(梅州)低空经济发展,简称
91440300MAER7DM94R,深圳市影石云低空经济有限公司,深圳市影石云低空经济有限公司,标准名
91440300MAER7DM94R,深圳市影石云低空经济有限公司,影石云低空经济,简称
91440982MAETGN471Y,茂名市航宇低空经济有限公司,茂名市航宇低空经济有限公司,标准名
91440982MAETGN471Y,茂名市航宇低空经济有限公司,茂名市航宇低空经济,简称
91441602MAET3E038C,河源市科明低空经济有限公司,河源市科明低空经济有限公司,标准名
91441602MAET3E038C,河源市科明低空经济有限公司,河源市科明低空经济,简称
91440300MAERK9TA7G,深圳市影翎云低空经济有限公司,深圳市影翎云低空经济有限公司,标准名
91440300MAERK9TA7G,深圳市影翎云低空经济有限公司,影翎云低空经济,简称
91441900MAEUUEL56Q,广东金鲲低空经济发展有限公司,广东金鲲低空经济发展有限公司,标准名
91441900MAEUUEL56Q,广东金鲲低空经济发展有限公司,金鲲低空经济发展,简称
91440604MAETLD7DXC,行者无疆低空经济(佛山)有限公司,行者无疆低空经济(佛山)有限公司,标准名
91440604MAETLD7DXC,行者无疆低空经济(佛山)有限公司,行者无疆低空经济(佛山,简称
91440904MAERYC814B,茂名市中鹏低空经济发展有限公司,茂名市中鹏低空经济发展有限公司,标准名
91440904MAERYC814B,茂名市中鹏低空经济发展有限公司,茂名市中鹏低空经济发展,简称
91440904MAERYC814B,茂名市中鹏低空经济发展有限公司,茂名中鹏企业管理咨询有限公司,曾用名
91445202MAETKJWJ9K,揭阳市云冀低空经济发展有限公司,揭阳市云冀低空经济发展有限公司,标准名
91445202MAETKJWJ9K,揭阳市云冀低空经济发展有限公司,揭阳市云冀低空经济发展,简称
91440300MAETKFNC3D,中科天予(深圳)低空经济科技有限公司,中科天予(深圳)低空经济科技有限公司,标准名
91440300MAETKFNC3D,中科天予(深圳)低空经济科技有限公司,中科天予(深圳)低空经济科技,简称
91440300MAEURBA27F,深圳市海之林低空经济有限公司,深圳市海之林低空经济有限公司,标准名
91440300MAEURBA27F,深圳市海之林低空经济有限公司,海之林低空经济,简称
91440300MAEWEQXF1H,深圳诺亚低空经济有限公司,深圳诺亚低空经济有限公司,标准名
91440300MAEWEQXF1H,深圳诺亚低空经济有限公司,诺亚低空经济,简称
91440300MAEU32QE1D,中科扬晟(深圳)低空经济科技有限公司,中科扬晟(深圳)低空经济科技有限公司,标准名
91440300MAEU32QE1D,中科扬晟(深圳)低空经济科技有限公司,中科扬晟(深圳)低空经济科技,简称
91442000MAEU6LH75D,中山市香山低空经济发展有限公司,中山市香山低空经济发展有限公司,标准名
91442000MAEU6LH75D,中山市香山低空经济发展有限公司,中山市香山低空经济发展,简称
91440281MAEX9YFH99,韶关市云科低空经济有限公司,韶关市云科低空经济有限公司,标准名
91440281MAEX9YFH99,韶关市云科低空经济有限公司,韶关市云科低空经济,简称
91440300MAEXUA8B4H,大黄蜂(深圳)低空经济发展有限公司,大黄蜂(深圳)低空经济发展有限公司,标准名
91440300MAEXUA8B4H,大黄蜂(深圳)低空经济发展有限公司,大黄蜂(深圳)低空经济发展,简称
91440300MAEX418N60,广东中能华航低空经济产业有限公司,广东中能华航低空经济产业有限公司,标准名
91440300MAEX418N60,广东中能华航低空经济产业有限公司,中能华航低空经济产业,简称
91440300MAEWNUQH31,广东中威低空经济产业有限公司,广东中威低空经济产业有限公司,标准名
91440300MAEWNUQH31,广东中威低空经济产业有限公司,中威低空经济产业,简称
91440300MAEXJMB810,深圳市泽晟低空经济产业有限公司,深圳市泽晟低空经济产业有限公司,标准名
91440300MAEXJMB810,深圳市泽晟低空经济产业有限公司,泽晟低空经济产业,简称
91440803MAG0E3JL30,广东辉跃低空经济发展有限公司,广东辉跃低空经济发展有限公司,标准名
91440803MAG0E3JL30,广东辉跃低空经济发展有限公司,辉跃低空经济发展,简称
91440300MAG14HRFX8,深圳乘势低空经济有限公司,深圳乘势低空经济有限公司,标准名
91440300MAG14HRFX8,深圳乘势低空经济有限公司,乘势低空经济,简称
91440300MAG1QL9F6N,深圳哈佤盛世低空经济有限公司,深圳哈佤盛世低空经济有限公司,标准名
91440300MAG1QL9F6N,深圳哈佤盛世低空经济有限公司,哈佤盛世低空经济,简称
91440300MA5J33GC8U,深圳市哈瓦特低空经济有限公司,深圳市哈瓦特低空经济有限公司,标准名
91440300MA5J33GC8U,深圳市哈瓦特低空经济有限公司,哈瓦特低空经济,简称
91440703MAK05WQN1A,江门市华翼低空经济有限公司,江门市华翼低空经济有限公司,标准名
91440703MAK05WQN1A,江门市华翼低空经济有限公司,江门市华翼低空经济,简称
91441224MAK133L02E,广东翼启未来低空经济有限公司,广东翼启未来低空经济有限公司,标准名
91441224MAK133L02E,广东翼启未来低空经济有限公司,翼启未来低空经济,简称
91441900MAK2RYB21M,广东科基壹号低空经济发展有限公司,广东科基壹号低空经济发展有限公司,标准名
91441900MAK2RYB21M,广东科基壹号低空经济发展有限公司,科基壹号低空经济发展,简称
91440606MAK1K7P876,航基低空经济发展(佛山)有限公司,航基低空经济发展(佛山)有限公司,标准名
91440606MAK1K7P876,航基低空经济发展(佛山)有限公司,航基低空经济发展(佛山,简称
91441702MAK0WHPL5F,阳江市仲国低空经济发展有限公司,阳江市仲国低空经济发展有限公司,标准名
91441702MAK0WHPL5F,阳江市仲国低空经济发展有限公司,阳江市仲国低空经济发展,简称
91440300MAK0WFH07J,深圳市领翼低空经济科技有限公司,深圳市领翼低空经济科技有限公司,标准名
91440300MAK0WFH07J,深圳市领翼低空经济科技有限公司,领翼低空经济科技,简称
91440883MAK14DHG0Q,吴川云图低空经济发展有限公司,吴川云图低空经济发展有限公司,标准名
91440883MAK14DHG0Q,吴川云图低空经济发展有限公司,吴川云图低空经济发展,简称
91440605MAK39BMH41,广东适航低空经济发展有限公司,广东适航低空经济发展有限公司,标准名
91440605MAK39BMH41,广东适航低空经济发展有限公司,适航低空经济发展,简称
91440825MAK3KEYQ2H,徐闻县海峡低空经济发展有限公司,徐闻县海峡低空经济发展有限公司,标准名
91440825MAK3KEYQ2H,徐闻县海峡低空经济发展有限公司,徐闻县海峡低空经济发展,简称
91440300MAK27UT776,航飞(深圳)低空经济有限公司,航飞(深圳)低空经济有限公司,标准名
91440300MAK27UT776,航飞(深圳)低空经济有限公司,航飞(深圳)低空经济,简称
91440105MAK42HGN4P,广东伏羲产教低空经济研究有限公司,广东伏羲产教低空经济研究有限公司,标准名
91440105MAK42HGN4P,广东伏羲产教低空经济研究有限公司,伏羲产教低空经济研究,简称
91441284MAK4D0AG2J,广东创富低空经济发展有限公司,广东创富低空经济发展有限公司,标准名
91441284MAK4D0AG2J,广东创富低空经济发展有限公司,创富低空经济发展,简称
91441802MAK33JK44P,清远市共创低空经济发展有限公司,清远市共创低空经济发展有限公司,标准名
91441802MAK33JK44P,清远市共创低空经济发展有限公司,清远市共创低空经济发展,简称
91440101MA9Y4QXN52,广州数航低空经济有限公司,广州数航低空经济有限公司,标准名
91440101MA9Y4QXN52,广州数航低空经济有限公司,数航低空经济,简称
91440101MA9Y4QXN52,广州数航低空经济有限公司,广州诚赤贸易有限公司,曾用名
91440101MA9Y4QXN52,广州数航低空经济有限公司,广州飞隆贸易有限公司,曾用名
91440101MA9Y4QXN52,广州数航低空经济有限公司,广州喆隆贸易有限公司,曾用名
91440512MAEA5UUA3F,广东九域低空经济发展企业(有限合伙),广东九域低空经济发展企业(有限合伙),标准名
91440512MAEA5UUA3F,广东九域低空经济发展企业(有限合伙),九域低空经济发展企业(有限合伙,简称
91441322MAK3MMFR2N,鹏城低空经济发展(博罗)有限公司,鹏城低空经济发展(博罗)有限公司,标准名
91441322MAK3MMFR2N,鹏城低空经济发展(博罗)有限公司,鹏城低空经济发展(博罗,简称
91440300MADR1F191Q,飞拍低空经济发展(深圳)有限公司,飞拍低空经济发展(深圳)有限公司,标准名
91440300MADR1F191Q,飞拍低空经济发展(深圳)有限公司,飞拍低空经济发展(深圳,简称
91440300MADR1F191Q,飞拍低空经济发展(深圳)有限公司,深圳市弘成商务有限公司,曾用名
91440300MAE51Y9E7W,深圳市中云链低空经济产业有限公司,深圳市中云链低空经济产业有限公司,标准名
91440300MAE51Y9E7W,深圳市中云链低空经济产业有限公司,中云链低空经济产业,简称
91440300MAEA130W72,深商低空经济发展(深圳)有限公司,深商低空经济发展(深圳)有限公司,标准名
91440300MAEA130W72,深商低空经济发展(深圳)有限公司,深商低空经济发展(深圳,简称
91441900MAEAP2PY0F,中疆低空经济(广东省)有限公司,中疆低空经济(广东省)有限公司,标准名
91441900MAEAP2PY0F,中疆低空经济(广东省)有限公司,中疆低空经济(广东省,简称
91440300MAEDB90C72,深启低空经济产业服务(深圳)有限公司,深启低空经济产业服务(深圳)有限公司,标准名
91440300MAEDB90C72,深启低空经济产业服务(深圳)有限公司,深启低空经济产业服务(深圳,简称
91440300MAED90P37T,惠飞低空经济(深圳)有限公司,惠飞低空经济(深圳)有限公司,标准名
91440300MAED90P37T,惠飞低空经济(深圳)有限公司,惠飞低空经济(深圳,简称
91440300MAEDE33R9J,幸福(深圳)低空经济产业发展有限公司,幸福(深圳)低空经济产业发展有限公司,标准名
91440300MAEDE33R9J,幸福(深圳)低空经济产业发展有限公司,幸福(深圳)低空经济产业发展,简称
91440300MAEHMUTR5N,上云端(深圳)低空经济有限公司,上云端(深圳)低空经济有限公司,标准名
91440300MAEHMUTR5N,上云端(深圳)低空经济有限公司,上云端(深圳)低空经济,简称
91440300MAEGXW0D0R,深圳市祥云游低空经济有限公司,深圳市祥云游低空经济有限公司,标准名
91440300MAEGXW0D0R,深圳市祥云游低空经济有限公司,祥云游低空经济,简称
91440300MAEWBXFP17,深圳中安低空经济有限公司,深圳中安低空经济有限公司,标准名
91440300MAEWBXFP17,深圳中安低空经济有限公司,中安低空经济,简称
91440300MAEUAQ6H2J,深圳市航铁低空经济有限公司,深圳市航铁低空经济有限公司,标准名
91440300MAEUAQ6H2J,深圳市航铁低空经济有限公司,航铁低空经济,简称
91440300MA5FDMWF7P,深圳蜂王低空经济科技发展有限公司,深圳蜂王低空经济科技发展有限公司,标准名
91440300MA5FDMWF7P,深圳蜂王低空经济科技发展有限公司,蜂王低空经济科技发展,简称
91440300MA5FDMWF7P,深圳蜂王低空经济科技发展有限公司,深圳市福田区自成蹊教育培训中心有限公司,曾用名
91440204MAELK3R007,韶关飞鹏低空经济发展有限公司,韶关飞鹏低空经济发展有限公司,标准名
91440204MAELK3R007,韶关飞鹏低空经济发展有限公司,韶关飞鹏低空经济发展,简称
91440300MAK09GGF0T,深圳云鸽低空经济产业发展有限公司,深圳云鸽低空经济产业发展有限公司,标准名
91440300MAK09GGF0T,深圳云鸽低空经济产业发展有限公司,云鸽低空经济产业发展,简称
91441900MA7MMBW89K,广东明睿低空经济发展有限公司,广东明睿低空经济发展有限公司,标准名
91441900MA7MMBW89K,广东明睿低空经济发展有限公司,明睿低空经济发展,简称
91441900MA7MMBW89K,广东明睿低空经济发展有限公司,广东明盛信息科技有限公司,曾用名
91440300MA5HT2QN9Y,中科(深圳)低空经济发展有限公司,中科(深圳)低空经济发展有限公司,标准名
91440300MA5HT2QN9Y,中科(深圳)低空经济发展有限公司,中科(深圳)低空经济发展,简称
91440300MA5HT2QN9Y,中科(深圳)低空经济发展有限公司,深圳银融产业发展有限公司,曾用名
91441900582951593K,东莞市汇成低空经济有限公司,东莞市汇成低空经济有限公司,标准名
91441900582951593K,东莞市汇成低空经济有限公司,汇成低空经济,简称
91441900582951593K,东莞市汇成低空经济有限公司,东莞市慧港知识产权代理有限公司,曾用名
91440300MA5EGPNX0H,厚德低空经济(深圳)有限公司,厚德低空经济(深圳)有限公司,标准名
91440300MA5EGPNX0H,厚德低空经济(深圳)有限公司,厚德低空经济(深圳,简称
91440300MA5EGPNX0H,厚德低空经济(深圳)有限公司,华商票据服务（深圳）有限公司,曾用名
91440300MA5HJPDN4T,云梭创新低空经济(深圳)有限公司,云梭创新低空经济(深圳)有限公司,标准名
91440300MA5HJPDN4T,云梭创新低空经济(深圳)有限公司,云梭创新低空经济(深圳,简称
91440300MA5HJPDN4T,云梭创新低空经济(深圳)有限公司,深圳市芯胜拓普电子有限公司,曾用名
91440606MAD0MKTK3L,佛山市源通尚榕低空经济有限公司,佛山市源通尚榕低空经济有限公司,标准名
91440606MAD0MKTK3L,佛山市源通尚榕低空经济有限公司,源通尚榕低空经济,简称
91440606MAD0MKTK3L,佛山市源通尚榕低空经济有限公司,佛山市源通尚榕文化传播有限公司,曾用名
91442000MAE9YWDM6D,中山华特雅低空经济发展有限公司,中山华特雅低空经济发展有限公司,标准名
91442000MAE9YWDM6D,中山华特雅低空经济发展有限公司,中山华特雅低空经济发展,简称
91441900MA52GEU12J,美江智飞(东莞)低空经济有限公司,美江智飞(东莞)低空经济有限公司,标准名
91441900MA52GEU12J,美江智飞(东莞)低空经济有限公司,美江智飞(东莞)低空经济,简称
91441900MA52GEU12J,美江智飞(东莞)低空经济有限公司,东莞市美江农业生物科技有限公司,曾用名
91440112MA7M7Y7Q8D,广州智航低空经济产业发展有限公司,广州智航低空经济产业发展有限公司,标准名
91440112MA7M7Y7Q8D,广州智航低空经济产业发展有限公司,智航低空经济产业发展,简称
91440112MA7M7Y7Q8D,广州智航低空经济产业发展有限公司,广州农穗科技有限公司,曾用名
91440300MAK4FCE6XU,哈深低空经济(深圳)有限公司,哈深低空经济(深圳)有限公司,标准名
91440300MAK4FCE6XU,哈深低空经济(深圳)有限公司,哈深低空经济(深圳,简称
91440400MACN71M6XE,广东横琴东昇防务科技有限公司,广东横琴东昇防务科技有限公司,标准名
91440400MACN71M6XE,广东横琴东昇防务科技有限公司,横琴东昇防务科技,简称
91440400MACN71M6XE,广东横琴东昇防务科技有限公司,珠海市东昇防务科技有限公司,曾用名
91440105MAK2UP1Y19,广州低空智联科技有限公司,广州低空智联科技有限公司,标准名
91440105MAK2UP1Y19,广州低空智联科技有限公司,低空智联科技,简称
91440300MA5G079M7T,深圳市英武低空文旅开发有限公司,深圳市英武低空文旅开发有限公司,标准名
91440300MA5G079M7T,深圳市英武低空文旅开发有限公司,英武低空文旅开发,简称
91440300MA5G079M7T,深圳市英武低空文旅开发有限公司,深圳市三思天空文旅开发有限公司,曾用名
91440300MA5G079M7T,深圳市英武低空文旅开发有限公司,深圳市聚聚文化娱乐有限公司,曾用名
91440300MA5EPJMFX9,深圳市域建低空科技有限公司,深圳市域建低空科技有限公司,标准名
91440300MA5EPJMFX9,深圳市域建低空科技有限公司,域建低空科技,简称
91440300MA5EPJMFX9,深圳市域建低空科技有限公司,深圳市库库众一科技有限公司,曾用名
91440106MA9YBRU5X5,立体救援应急服务(广东)有限公司,立体救援应急服务(广东)有限公司,标准名
91440106MA9YBRU5X5,立体救援应急服务(广东)有限公司,立体救援应急服务(广东,简称
91440300MA5H9G3X3X,广东跃洲智航低空科技有限公司,广东跃洲智航低空科技有限公司,标准名
91440300MA5H9G3X3X,广东跃洲智航低空科技有限公司,跃洲智航低空科技,简称
91440300MA5H9G3X3X,广东跃洲智航低空科技有限公司,深圳市瑶舍健康管理科技有限公司,曾用名
91440300MA5HQPHF2J,交换星球(深圳)文旅有限公司,交换星球(深圳)文旅有限公司,标准名
91440300MA5HQPHF2J,交换星球(深圳)文旅有限公司,交换星球(深圳)文旅,简称
91440300MA5HQPHF2J,交换星球(深圳)文旅有限公司,深圳大信航空科技发展有限公司,曾用名
91440300MA5HU8FG36,深圳市亿芯智慧应急科技有限公司,深圳市亿芯智慧应急科技有限公司,标准名
91440300MA5HU8FG36,深圳市亿芯智慧应急科技有限公司,亿芯智慧应急科技,简称
91440112MACPH1WR10,广东低空产业链发展有限公司,广东低空产业链发展有限公司,标准名
91440112MACPH1WR10,广东低空产业链发展有限公司,低空产业链发展,简称
91440112MACPH1WR10,广东低空产业链发展有限公司,广东省白云会俱乐部有限公司,曾用名
91610131MACTB0W17D,深圳高度创新低空产业发展有限公司,深圳高度创新低空产业发展有限公司,标准名
91610131MACTB0W17D,深圳高度创新低空产业发展有限公司,高度创新低空产业发展,简称
91610131MACTB0W17D,深圳高度创新低空产业发展有限公司,西安凌众智飞科技有限公司,曾用名
91610131MACTB0W17D,深圳高度创新低空产业发展有限公司,深圳凌众智飞科技有限公司,曾用名
91440606MADB71GE84,三易归藏(广东顺德)大健康产业投资有限公司,三易归藏(广东顺德)大健康产业投资有限公司,标准名
91440606MADB71GE84,三易归藏(广东顺德)大健康产业投资有限公司,三易归藏(广东顺德)大健康产业投资,简称
91440606MADB71GE84,三易归藏(广东顺德)大健康产业投资有限公司,用钜峻大健康管理（佛山市）有限公司,曾用名
91441802MADJNGFD90,广东低空产业建设发展有限公司,广东低空产业建设发展有限公司,标准名
91441802MADJNGFD90,广东低空产业建设发展有限公司,低空产业建设发展,简称
91440112MADP0WB43M,低空(广东)经济咨询服务有限公司,低空(广东)经济咨询服务有限公司,标准名
91440112MADP0WB43M,低空(广东)经济咨询服务有限公司,低空(广东)经济咨询服务,简称
91440111MADQL9HA3K,低空产业园投资(广东)有限公司,低空产业园投资(广东)有限公司,标准名
91440111MADQL9HA3K,低空产业园投资(广东)有限公司,低空产业园投资(广东,简称
91440605MADWUWTF89,佛山市鹏城低空经济技术发展有限公司,佛山市鹏城低空经济技术发展有限公司,标准名
91440605MADWUWTF89,佛山市鹏城低空经济技术发展有限公司,鹏城低空经济技术发展,简称
91440300MAE1748DXJ,深圳市空驭未来低空经济产业服务有限公司,深圳市空驭未来低空经济产业服务有限公司,标准名
91440300MAE1748DXJ,深圳市空驭未来低空经济产业服务有限公司,空驭未来低空经济产业服务,简称
91440104MAE6L3P34R,广东省城市低空经济产业研究院有限公司,广东省城市低空经济产业研究院有限公司,标准名
91440104MAE6L3P34R,广东省城市低空经济产业研究院有限公司,城市低空经济产业研究院,简称
91440300MAE8L4929M,深圳市鹏城低空新基建科技有限公司,深圳市鹏城低空新基建科技有限公司,标准名
91440300MAE8L4929M,深圳市鹏城低空新基建科技有限公司,鹏城低空新基建科技,简称
91440104MAEABDW86E,广州吉祥鸟低空科技有限公司,广州吉祥鸟低空科技有限公司,标准名
91440104MAEABDW86E,广州吉祥鸟低空科技有限公司,吉祥鸟低空科技,简称
91441602MAEA15P26X,深河飞鹰(河源)无人机培训有限公司,深河飞鹰(河源)无人机培训有限公司,标准名
91441602MAEA15P26X,深河飞鹰(河源)无人机培训有限公司,深河飞鹰(河源)无人机培训,简称
91440117MAE9WT9K5L,中研航空服务(广东)有限公司,中研航空服务(广东)有限公司,标准名
91440117MAE9WT9K5L,中研航空服务(广东)有限公司,中研航空服务(广东,简称
91440300MAEAQBMR4Q,鹏城低空(深圳)运营管理有限公司,鹏城低空(深圳)运营管理有限公司,标准名
91440300MAEAQBMR4Q,鹏城低空(深圳)运营管理有限公司,鹏城低空(深圳)运营管理,简称
91440113MAEGE9YF7Y,雨燕航翼低空经济产业发展(广东)有限公司,雨燕航翼低空经济产业发展(广东)有限公司,标准名
91440113MAEGE9YF7Y,雨燕航翼低空经济产业发展(广东)有限公司,雨燕航翼低空经济产业发展(广东,简称
91440112MAEJTL11X3,广东省产教融合低空经济研究有限公司,广东省产教融合低空经济研究有限公司,标准名
91440112MAEJTL11X3,广东省产教融合低空经济研究有限公司,产教融合低空经济研究,简称
91440106MAENR09P20,广东乾元智航低空港经济发展有限公司,广东乾元智航低空港经济发展有限公司,标准名
91440106MAENR09P20,广东乾元智航低空港经济发展有限公司,乾元智航低空港经济发展,简称
91441802MAENG4A48J,广东中彩航科低空经济发展有限公司,广东中彩航科低空经济发展有限公司,标准名
91441802MAENG4A48J,广东中彩航科低空经济发展有限公司,中彩航科低空经济发展,简称
91440112MAEPABCM6Y,城市智运(广东)科技有限公司,城市智运(广东)科技有限公司,标准名
91440112MAEPABCM6Y,城市智运(广东)科技有限公司,城市智运(广东)科技,简称
91441802MAERRP0J8Y,广东共跃低空科技有限公司,广东共跃低空科技有限公司,标准名
91441802MAERRP0J8Y,广东共跃低空科技有限公司,共跃低空科技,简称
91440300MAEXT7F05K,深圳鹏翔云飞低空经济发展有限公司,深圳鹏翔云飞低空经济发展有限公司,标准名
91440300MAEXT7F05K,深圳鹏翔云飞低空经济发展有限公司,鹏翔云飞低空经济发展,简称
91440300MAK0FPRT2G,亚太智慧(广东)低空经济产业有限公司,亚太智慧(广东)低空经济产业有限公司,标准名
91440300MAK0FPRT2G,亚太智慧(广东)低空经济产业有限公司,亚太智慧(广东)低空经济产业,简称
91440114MAK1P8A578,广东创翼低空产业发展有限公司,广东创翼低空产业发展有限公司,标准名
91440114MAK1P8A578,广东创翼低空产业发展有限公司,创翼低空产业发展,简称
91440300MAK4N5KM3T,京兰长绿(深圳)低空控股有限公司,京兰长绿(深圳)低空控股有限公司,标准名
91440300MAK4N5KM3T,京兰长绿(深圳)低空控股有限公司,京兰长绿(深圳)低空控股,简称
91440300MA5F99GL73,深圳市毕方智慧低空经济科技发展有限公司,深圳市毕方智慧低空经济科技发展有限公司,标准名
91440300MA5F99GL73,深圳市毕方智慧低空经济科技发展有限公司,毕方智慧低空经济科技发展,简称
91440300MA5F99GL73,深圳市毕方智慧低空经济科技发展有限公司,深圳真品轩餐饮管理有限公司,曾用名
91440300MA5F99GL73,深圳市毕方智慧低空经济科技发展有限公司,深圳艺博轩管理有限公司,曾用名
91440800MA4X75CC0R,湛江市九霄低空科技有限公司,湛江市九霄低空科技有限公司,标准名
91440800MA4X75CC0R,湛江市九霄低空科技有限公司,湛江市九霄低空科技,简称
91440800MA4X75CC0R,湛江市九霄低空科技有限公司,湛江市大汉新能源科技工程有限公司,曾用名
91440800MA4X75CC0R,湛江市九霄低空科技有限公司,湛江市大汉新能源科技有限公司,曾用名
91440300MA5HGYK84H,深圳市西宝低空经济产业发展有限公司,深圳市西宝低空经济产业发展有限公司,标准名
91440300MA5HGYK84H,深圳市西宝低空经济产业发展有限公司,西宝低空经济产业发展,简称
91440300MA5HGYK84H,深圳市西宝低空经济产业发展有限公司,深圳市西宝企业咨询有限公司,曾用名
91440300MADH53482F,云海中城低空经济产业发展(深圳)有限公司,云海中城低空经济产业发展(深圳)有限公司,标准名
91440300MADH53482F,云海中城低空经济产业发展(深圳)有限公司,云海中城低空经济产业发展(深圳,简称
91440114MAK04WK853,广州低空云图科技有限公司,广州低空云图科技有限公司,标准名
91440114MAK04WK853,广州低空云图科技有限公司,低空云图科技,简称
91440300MAK3507E22,中科赛尔健康科技(深圳)有限公司,中科赛尔健康科技(深圳)有限公司,标准名
91440300MAK3507E22,中科赛尔健康科技(深圳)有限公司,中科赛尔健康科技(深圳,简称
91440104MAK388UJ8T,广州未来之星国际航空发展有限公司,广州未来之星国际航空发展有限公司,标准名
91440104MAK388UJ8T,广州未来之星国际航空发展有限公司,未来之星国际航空发展,简称
91440300MA5DN6FT2X,深圳市龙源生物科技有限责任公司,深圳市龙源生物科技有限责任公司,标准名
91440300MA5DN6FT2X,深圳市龙源生物科技有限责任公司,龙源生物科技,简称
91440300MA5DN6FT2X,深圳市龙源生物科技有限责任公司,深圳万中雷科技有限公司,曾用名
91440300MA5GET2B9L,兄弟广告传媒(深圳)有限公司,兄弟广告传媒(深圳)有限公司,标准名
91440300MA5GET2B9L,兄弟广告传媒(深圳)有限公司,兄弟广告传媒(深圳,简称
91440300MACMX67A13,深圳领航低空文旅有限公司,深圳领航低空文旅有限公司,标准名
91440300MACMX67A13,深圳领航低空文旅有限公司,领航低空文旅,简称
91440300MAE5C90Y5H,深圳科比特重明鸟低空经济产业发展有限公司,深圳科比特重明鸟低空经济产业发展有限公司,标准名
91440300MAE5C90Y5H,深圳科比特重明鸟低空经济产业发展有限公司,科比特重明鸟低空经济产业发展,简称
91440112MAEAN8NQ8N,广州来飞低空科技发展有限公司,广州来飞低空科技发展有限公司,标准名
91440112MAEAN8NQ8N,广州来飞低空科技发展有限公司,来飞低空科技发展,简称
91441625MAEFWFK682,河源市万绿湖低空经济发展有限公司,河源市万绿湖低空经济发展有限公司,标准名
91441625MAEFWFK682,河源市万绿湖低空经济发展有限公司,河源市万绿湖低空经济发展,简称
91440115MAELF72PXW,天空城(广东)低空经济产业发展有限公司,天空城(广东)低空经济产业发展有限公司,标准名
91440115MAELF72PXW,天空城(广东)低空经济产业发展有限公司,天空城(广东)低空经济产业发展,简称
91440402MAK1DE8C2M,珠海翼航低空科技有限公司,珠海翼航低空科技有限公司,标准名
91440402MAK1DE8C2M,珠海翼航低空科技有限公司,翼航低空科技,简称
91440300MA5EC3117K,翼行云港低空产业(深圳)有限公司,翼行云港低空产业(深圳)有限公司,标准名
91440300MA5EC3117K,翼行云港低空产业(深圳)有限公司,翼行云港低空产业(深圳,简称
91440300MA5EC3117K,翼行云港低空产业(深圳)有限公司,深圳市霞美科技有限公司,曾用名
91440300342489547L,深圳市玖玖隆低空经济产业咨询有限公司,深圳市玖玖隆低空经济产业咨询有限公司,标准名
91440300342489547L,深圳市玖玖隆低空经济产业咨询有限公司,玖玖隆低空经济产业咨询,简称
91440300342489547L,深圳市玖玖隆低空经济产业咨询有限公司,深圳市星美通新能源汽车租赁有限公司,曾用名
91440300MADX8FEJX3,深圳宝昇一号投资合伙企业(有限合伙),深圳宝昇一号投资合伙企业(有限合伙),标准名
91440300MADX8FEJX3,深圳宝昇一号投资合伙企业(有限合伙),宝昇一号投资合伙企业(有限合伙,简称
91441802MAEX4QTJ58,清远市小飞鸡文化发展有限公司,清远市小飞鸡文化发展有限公司,标准名
91441802MAEX4QTJ58,清远市小飞鸡文化发展有限公司,清远市小飞鸡文化发展,简称
91440300MA5DMJKM7X,深圳馨贵海洋文化服务有限公司,深圳馨贵海洋文化服务有限公司,标准名
91440300MA5DMJKM7X,深圳馨贵海洋文化服务有限公司,馨贵海洋文化服务,简称
91440300MA5DMJKM7X,深圳馨贵海洋文化服务有限公司,深圳前海家缘游艇管理服务有限公司,曾用名
91440300MA5DMJKM7X,深圳馨贵海洋文化服务有限公司,深圳前海悠然一品游艇管理服务有限公司,曾用名
91440300MA5DMJKM7X,深圳馨贵海洋文化服务有限公司,深圳前海馨贵海洋文化服务有限公司,曾用名
91440300319535226J,深圳市中科瀚跃科技有限公司,深圳市中科瀚跃科技有限公司,标准名
91440300319535226J,深圳市中科瀚跃科技有限公司,中科瀚跃科技,简称
91440300319535226J,深圳市中科瀚跃科技有限公司,深圳市豪润泰乡餐饮管理有限公司,曾用名
91441302MAENEAJF0L,惠州粤晟美翔龙低空经济发展有限公司,惠州粤晟美翔龙低空经济发展有限公司,标准名
