主导申请人名称,统一社会信用代码,申请人城市,当前权利人,专利数,IPC主分类号数,首次申请年份,最近申请年份,主体类型判断,是否广东样本城市,是否头部关键词命中,推荐补录优先级,补录建议
中铁十五局集团有限公司,913100001699534723; 91410300171097660J,上海,中铁十五局集团有限公司; 中铁十五局集团城市建设工程有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
中铁十八局集团有限公司,9112000010306009X2; 91130200104741540X; 12100000400001221L,天津,中铁十八局集团有限公司; 中铁十八局集团第二工程有限公司; 中国地质大学(北京),1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
中铁十八局集团第一工程有限公司,91130681108225527R; 12100000489558586R,保定,中铁十八局集团第一工程有限公司; 华侨大学,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
中铁十六局集团第一工程有限公司,91110000102489329E; 12130000401761003G,北京,中铁十六局集团第一工程有限公司; 石家庄铁道大学,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
中铁十四局集团大盾构工程有限公司,91320111MA1N1FEL73,南京,中铁十四局集团大盾构工程有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
中铁四局集团有限公司,913400001491855256,合肥,中铁四局集团有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
中铁四局集团第五工程有限公司,913604007239252934; 913400001491855256,九江,中铁四局集团第五工程有限公司; 中铁四局集团有限公司,1,1,2019,2019,企业,否,否,P3-候选观察,建议补录进企业主表
中铁国际集团有限公司,911100006723527896,北京,中铁国际集团有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
中铁大桥局集团有限公司,91420100177685789E; 91420100177573250A; 12420000441626834Y,武汉,中铁大桥局集团有限公司; 中铁大桥科学研究院有限公司; 武汉工程大学,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
中铁大桥局集团第二工程有限公司,9132010013488020X7,南京,中铁大桥局集团第二工程有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
中铁市政环境建设有限公司,91310107575834428N,上海,中铁市政环境建设有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
中铁广州工程局集团有限公司,91440101MA59G0NT5Y; 91440101572174997X; 91500000450386203J,广州,中铁广州工程局集团有限公司; 中铁广州工程局集团港航工程有限公司; 中铁长江交通设计集团有限公司,1,1,2023,2023,企业,是,否,P3-候选观察,建议补录进企业主表
中铁广州工程局集团有限公司,91440101MA59G0NT5Y; 91610000559365502P; 914412001952712568,广州,中铁广州工程局集团有限公司; 西成铁路客运专线陕西有限责任公司; 中铁广州工程局集团第三工程有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
中铁建工集团有限公司,91110000710921189P; 91440101MA5D1N2H8J,北京,中铁建工集团有限公司; 中铁建工集团第五建设有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
中铁建设集团有限公司,9111000010228709XY; 91110107102313171M; 91110000710935150D,北京,中铁建设集团有限公司; 北京中铁建建筑科技有限公司; 中国铁建股份有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
中铁建设集团有限公司,9111000010228709XY; 91110108MA0056LY23,北京,中铁建设集团有限公司; 北京王府科技有限公司,1,1,2018,2018,企业,否,否,P3-候选观察,建议补录进企业主表
中铁建设集团有限公司,9111000010228709XY; 914201046918556999,北京,中铁建设集团有限公司; 中铁建设集团中南建设有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
中铁桥研科技有限公司,; 91420100177685789E; 91420100177573250A; 91420000730857364X,武汉,中铁桥研科技有限公司; 中铁大桥局集团有限公司; 中铁大桥科学研究院有限公司; 中铁大桥局集团第六工程有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
中铁桥隧技术有限公司,91320191660693041H; 12100000466006770Q,南京,中铁桥隧技术有限公司; 东南大学,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
中铁水利信息科技有限公司,913601067419518238,南昌,中铁水利信息科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
中铁水利水电规划设计集团有限公司,91360121MA35F37H0Q; 91360121065356163D,南昌,中铁水利水电规划设计集团有限公司; 江西润泽检测有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
中铁电气化局集团第一工程有限公司,91110106101298723K;,北京,中铁电气化局集团第一工程有限公司; 赵云赫,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
中铁电气化铁路运营管理有限公司,91110117678750307U,北京,中铁电气化铁路运营管理有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
中铁第五勘察设计院集团有限公司,9111000040000238XD,北京,中铁第五勘察设计院集团有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
中铁第四勘察设计院集团有限公司,914201007071167872; 91100000000013477B,武汉,中铁第四勘察设计院集团有限公司; 中国国家铁路集团有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
中铁铁工城市建设有限公司,91370100163198787U; 12150000460029904X,济南,中铁铁工城市建设有限公司; 内蒙古科技大学,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
中铁隧道局集团有限公司,91410300171075680N; 915000006733598862,广州,中铁隧道局集团有限公司; 中铁隧道集团一处有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
中铝(郑州)铝业有限公司,914100007109349241,郑州,中铝(郑州)铝业有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
中银金融科技有限公司,91310115MA1K4CFK0H,上海,中银金融科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
中飞艾维航空科技(苏州)有限公司,91320506MABRN7DK2Q,苏州,中飞艾维航空科技(苏州)有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
中首数字科技有限公司,91420500MA49PMMGXY,宜昌,中首数字科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
中鸿国科(杭州)科技有限公司,91330105MA2J1HXL1E,杭州,中鸿国科(杭州)科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
丰巢网络技术有限公司,91440300MA5FQ0TL82,深圳,丰巢网络技术有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
丰羽顺途无人机科技(上海)有限公司,91310116MACGGEJ85W,上海,丰羽顺途无人机科技(上海)有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
临沂乐锴新能源科技有限公司,91371323MA3ELYD80A,临沂,临沂乐锴新能源科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
临沂宏大网络科技有限公司,,临沂,临沂宏大网络科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
临沂市东辰路桥工程有限公司,91371300265895380A,临沂,临沂市东辰路桥工程有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
临沂市六维工程测绘有限公司,913713020829582389,临沂,临沂市六维工程测绘有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
临沂市英诺华工业设计有限公司,91371302MA3MUJ323Q,临沂,临沂市诺克牛工业设计有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
临沭县方正测绘有限公司,91371329672220778W,临沂,临沭县方正测绘有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
临沭春意园林有限公司,91371329085109960X,临沂,临沭春意园林有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
临舟(宁波)科技有限公司,91330281MA2H4HT41Q,宁波,临舟(宁波)科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
丽水市金阳土地规划测绘有限公司,913311020716074404,丽水,丽水市金阳土地规划测绘有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
乌什县华能新能源有限责任公司,91652927MABY5P492K,阿克苏,乌什县华能新能源有限责任公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
乐圆技术有限公司,91370213MABTEG9R14,青岛,乐圆技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
九州无限(辽宁)充电设备有限公司,91210102MAD57RDXX4,沈阳,九州无限(辽宁)充电设备有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
九江冠成仿真技术有限公司,91360406MA35U7D37L,九江,九江冠成仿真技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
九江思源软件有限公司,91360400754243199C,九江,九江思源软件有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
九江数字产业发展有限公司,91360402MA38QWB84K,九江,九江数字产业发展有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
二十一世纪空间技术应用股份有限公司,911100007263419397,北京,二十一世纪空间技术应用股份有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
云南三乾科技信息有限公司,91530103MA6NMNEHXF,昆明,云南三乾科技信息有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南云岭高速公路工程咨询有限公司,9153000076386910XK,昆明,云南云岭高速公路工程咨询有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
云南云测科技有限责任公司,91530100750653174M,昆明,云南云测科技有限责任公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南云能科技有限公司,91530103MA6KC8W23C,昆明,云南云能科技有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
云南佰腾科技有限公司,,昆明,云南佰腾科技有限公司; 王灵芳; 王小泉,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南北方光学科技有限公司,91530300579821624U,昆明,云南北方光学科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南品安消防科技有限公司,915301035896086087,昆明,云南品安消防科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
云南昆钢电子信息科技有限公司,915300007273096071,昆明,云南昆钢电子信息科技有限公司,1,1,2020,2020,企业,否,否,P3-候选观察,建议补录进企业主表
云南滇能智慧能源有限公司,91530000676581175P,昆明,云南滇能智慧能源有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南瀚哲科技有限公司,91530100579812509Q,昆明,云南瀚哲科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南电网公司普洱供电局,,普洱,云南电网公司普洱供电局,1,1,2011,2011,企业,否,否,P3-候选观察,建议补录进企业主表
云南电网有限责任公司丽江供电局,91530700775548645X,丽江,云南电网有限责任公司丽江供电局,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南电网有限责任公司普洱供电局,91530800218353116J,普洱,云南电网有限责任公司普洱供电局,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南电网有限责任公司曲靖供电局,91530300217220565U,曲靖,云南电网有限责任公司曲靖供电局,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南电网有限责任公司楚雄供电局,9153230070980273XQ,楚雄,云南电网有限责任公司楚雄供电局,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南电网有限责任公司迪庆供电局,91533400778583753H,迪庆,云南电网有限责任公司迪庆供电局,1,1,2020,2020,企业,否,否,P3-候选观察,建议补录进企业主表
云南省烟草公司曲靖市公司,91530300217222042J,曲靖,云南省烟草公司曲靖市公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南省烟草公司红河州公司,91532526218032822F,红河,云南省烟草公司红河州公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
云南省烟草公司红河州公司,91532526218032822F; 12100000MB1E85344J,红河,云南省烟草公司红河州公司; 中国科学院空天信息创新研究院,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
云南空间探索科技有限公司,91530103MACQU1K9XL,昆明,云南空间探索科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南视限科技有限公司,91530102MABLXGM349,昆明,导引科学研究院云南有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南赢测科技有限公司,91530103MA6K8B202A,昆明,云南赢测科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南远信科技有限公司,91530100795152322Q,昆明,云南远信科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
云南酷联科技有限公司,91530100316385015A,昆明,云南酷联科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
云南骏鹰航空科技有限公司,91530112343714339N,昆明,云南骏鹰航空科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
云垚大数据科技(广东)有限公司,91440101MA59EY7322,广州,云垚大数据科技(广东)有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
云景技术有限公司,91361123MA35U5XE93,上饶,云景技术有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
五冶集团上海有限公司,91310113631896624J,上海,五冶集团上海有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
五凌电力有限公司,914300001837928049; 91430000MA4L393J92; 91320191608935509F,长沙,五凌电力有限公司; 湖南五凌电力科技有限公司; 国电南瑞南京控制系统有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
五矿瑞和(上海)建设有限公司,91310000607246664F,上海,五矿瑞和(上海)建设有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
交信北斗科技有限公司,91110302587708605W; 1210000040083475XC; 91341800MA2N2XW81H,北京,交信北斗科技有限公司; 中国交通通信信息中心; 安徽宇呈数据技术有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
交控科技股份有限公司,91110106697684368N; 91440300MAD9HC67XN,北京,交控科技股份有限公司; 交控航空科技(深圳)有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
交科智慧城市科技(南京)有限公司,91320105MA26LWXWXW,南京,交科智慧城市科技(南京)有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
交科院环境科技(北京)有限公司,91110105101693280U; 12100000400002961P,北京,交科院环境科技(北京)有限公司; 交通运输部科学研究院,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
京东方科技集团股份有限公司,911100001011016602,北京,京东方科技集团股份有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
京东方科技集团股份有限公司,911100001011016602; 91110302MA0185MG6W,北京,京东方科技集团股份有限公司; 北京京东方传感技术有限公司,1,1,2020,2020,企业,否,否,P3-候选观察,建议补录进企业主表
京创智慧科技有限责任公司,91510100MA6CG2Q31E,成都,京创智慧科技有限责任公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
京承国智有限公司,91110106MAD39MAE0A,北京,京承国智有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
京耀(扬州生态科技新城)综合能源服务有限公司,; 91110106MA02MHQC9G,扬州,京耀(扬州生态科技新城)综合能源服务有限公司; 北京京能国际综合智慧能源有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
亿咖通(湖北)技术有限公司,91420100MA4F1WGW4L,武汉,亿咖通(湖北)技术有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
仁合智航科技(武汉)有限责任公司,91420100MA4KYAMQ82,武汉,仁合智航科技(武汉)有限责任公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
仁安消防安全工程有限公司,91130100757536720A,石家庄,仁安消防安全工程有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
仁安消防设备科技有限公司,91130100MA07YLNP74,石家庄,仁安消防设备科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
伊春鹿鸣矿业有限公司,91230700790525636U,伊春,伊春鹿鸣矿业有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
众智软件股份有限公司,91410300780525499E; 91410105563701441Y; 12410000415806196P,洛阳,众智软件股份有限公司; 中核勘察设计研究有限公司; 河南工业大学,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
众芯汉创(江苏)科技有限公司,91320102MA1Y28XY0M,南京,众芯汉创(江苏)科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
众芯汉创(西安)科技有限公司,91610131MA7MKK1U54,西安,众芯汉创(西安)科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
众诚测试科技(大连)有限公司,91210242MA10UHWY0D,大连,众诚测试科技(大连)有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
优地机器人(无锡)股份有限公司,91440300065473036M,无锡,优地机器人(无锡)股份有限公司,1,1,2021,2021,企业,否,否,P3-候选观察,建议补录进企业主表
优备科技股份有限公司,91530103080412012A,昆明,优备科技股份有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
优普科技集团有限公司,,郑州,优普科技集团有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
会同锦宏农业科技有限公司,91431229MA4RHQCU4C,怀化,会同锦宏农业科技有限公司,1,1,2018,2018,企业,否,否,P3-候选观察,建议补录进企业主表
会理市财通铁钛有限责任公司,91510000709116588K,凉山,会理市财通铁钛有限责任公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
会理秀水河矿业有限公司,91513425665388070G,凉山,会理秀水河矿业有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
伟卓石油科技(北京)有限公司,91110108399882227P,北京,伟卓科技集团有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
传播大脑科技(浙江)股份有限公司,91330483MA28AB9771,杭州,传播大脑科技(浙江)股份有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
传申智能(深圳)有限公司,91440300MA5HKBWE98,深圳,传申智能(深圳)有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
佛山中科云图智能科技有限公司,91440604MA53T19G8E,佛山,佛山中科云图智能科技有限公司,1,1,2023,2023,企业,是,是,P3-候选观察,建议补录进企业主表
佛山市实达科技有限公司,91440605707540262L,佛山,佛山市实达科技有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
佛山市林创科技有限公司,9144060459006605XU,佛山,佛山市林创科技有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
佛山市素锐建材有限公司,91440604MA520BMQ0E,佛山,佛山市素锐建材有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
佛山市顺德区云智慧城市资源经营管理有限公司,91440606MAA4J1NA33,佛山,佛山市顺德区云智慧城市资源经营管理有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
佛山市鹰火微峰科技有限公司,91440605MA54RDJX3F,佛山,佛山市鹰火微峰科技有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
佛山澳信科技有限公司,914406070506638654,佛山,佛山澳信科技有限公司,1,1,2023,2023,企业,是,否,P3-候选观察,建议补录进企业主表
佛山电力设计院有限公司,91440604193531608E,佛山,佛山电力设计院有限公司,1,1,2023,2023,企业,是,否,P3-候选观察,建议补录进企业主表
佛山聚卓科技有限公司,91440605MA51E7ED8F,佛山,佛山聚卓科技有限公司,1,1,2020,2020,企业,是,否,P3-候选观察,建议补录进企业主表
佛山蓝谱达科技有限公司,91440604MA553TG40Q,佛山,佛山蓝谱达科技有限公司,1,1,2024,2024,企业,是,否,P3-候选观察,建议补录进企业主表
佛山谱至供应链管理有限公司,91440606MA51KF4D9Q,佛山,佛山谱至供应链管理有限公司,1,1,2021,2021,企业,是,否,P3-候选观察,建议补录进企业主表
佛山远钧智慧科技有限公司,91440604MA4WU2DG68,佛山,佛山远钧智慧科技有限公司,1,1,2023,2023,企业,是,否,P3-候选观察,建议补录进企业主表
佳康捷科技(江苏)有限公司,91320509MA7FJKTF9L,苏州,佳康捷科技(江苏)有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
依承艺术设计(上海)有限公司,91310112MA1GB6RF4A,上海,依承艺术设计(上海)有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
保利(北京)船舶科技有限公司,91110111MA01K8BY77,北京,保利(北京)船舶科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
保定凯博瑞机械制造有限公司,91130605681398973K,保定,保定凯博瑞机械制造有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
保定凯博瑞科技有限公司,91130605681398973K,保定,保定凯博瑞科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
保定博云电气技术有限公司,91130605592465724Q,保定,保定博云电气技术有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
保定岚豹专用车制造有限公司,91130602MAC6PTMY8C,保定,保定岚豹专用车制造有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
保定巽达智能科技有限公司,91130605MAD0WJHT2X,保定,保定巽达智能科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
保定市建通电器制造有限公司,911306056012087981,保定,保定市建通电器制造有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
信创长城(北京)科技有限公司,91110108MA0203X66J,北京,信创长城(北京)科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
信天翁半导体(杭州)有限公司,91330108MABRE8K07C,杭州,信天翁半导体(杭州)有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
倍飞智航(浙江)科技有限公司,91330604MABXUFEA2C,绍兴,倍飞智航(浙江)科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
傲垦数控装备(苏州)有限公司,91320581MA1R5X6RXU,苏州,万小亮; 张晶镜,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
傲飞创新科技(深圳)有限公司,914403003595541739,深圳,傲飞创新科技(深圳)有限公司,1,1,2018,2018,企业,是,否,P3-候选观察,建议补录进企业主表
元宝山发电有限责任公司,91150400701280332N,赤峰,元宝山发电有限责任公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
元江县恒绿农业发展有限公司,91530428695655547Y,玉溪,元江县恒绿农业发展有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
光积电(江苏)新能源科技有限公司,91320913MA20NW0W5R,盐城,光积电(江苏)新能源科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
兖州中材建设有限公司,91370882166080362Y,济宁,兖州中材建设有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
兖矿能源集团股份有限公司,91370000166122374N; 12340000485319959Y;,济宁,兖矿能源集团股份有限公司; 安徽理工大学; 安徽骏祥空间技术有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
兰州万里航空机电有限责任公司,91620000750910118C,兰州,兰州万里航空机电有限责任公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
兰州乾元生态科技有限公司,916201025716065917,兰州,兰州乾元生态科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
兰州瑞杰信息科技有限公司,91620100745865340C,兰州,兰州瑞杰信息科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
共享数据(福建)科技有限公司,91350100MA2YG0W7XA,福州,共享数据(福建)科技有限公司,1,1,2023,2023,企业,否,否,P3-候选观察,建议补录进企业主表
具身智航科技(北京)有限公司,91530400MA6P337E49,北京,具身智航科技(北京)有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古京隆发电有限责任公司,91150981752591376J; 91110108MA01J8863Y,乌兰察布,内蒙古京隆发电有限责任公司; 北京京能能源技术研究有限责任公司,1,1,2020,2020,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古华颂种业科技有限公司,91150423MA0PRADX7K,乌兰察布,内蒙古华颂种业科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古启超测绘有限公司,91150404MA0NHRQH97,赤峰,内蒙古启超测绘有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古小草数字生态产业股份有限公司,91150100329043620T,呼和浩特,内蒙古小草数字生态产业股份有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古平庄煤业(集团)有限责任公司,91150403114863701Q; 912101032406230398,赤峰,内蒙古平庄煤业(集团)有限责任公司; 中煤科工集团沈阳设计研究院有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古志向卓越科技服务有限公司,91150691MA0NE3W22W,鄂尔多斯,内蒙古志向卓越科技服务有限公司,1,1,2019,2019,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古快为科技有限公司,91150691MA7HBAKJ5D,鄂尔多斯,内蒙古快为科技有限公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古智牧溯源技术开发有限公司,91150291MA0N07TR25,包头,内蒙古智牧溯源技术开发有限公司,1,1,2017,2017,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古求实智能科技有限公司,91150192MADJA9T1XB,呼和浩特,内蒙古求实智能科技有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古电力(集团)有限责任公司乌海超高压供电分公司,91150300353083665Q,乌海,内蒙古电力(集团)有限责任公司乌海超高压供电分公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古电力(集团)有限责任公司锡林郭勒供电分公司,91152500626555059P,锡林郭勒,内蒙古电力(集团)有限责任公司锡林郭勒供电分公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古电力(集团)有限责任公司锡林郭勒电业局,91152500626555059P,锡林郭勒,内蒙古电力(集团)有限责任公司锡林郭勒电业局,1,1,2020,2020,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古禾下起源农牧业科技发展有限公司,91150102MA0RT0AA5G,通辽,武汉学院,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古第一机械集团股份有限公司,91150000720180740Y,包头,内蒙古第一机械集团股份有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古绍晖工程有限公司,91150622MA0Q8QLT65,鄂尔多斯,内蒙古绍晖工程有限公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古草原勘察设计有限责任公司,91150102MA0R4RYP83,呼和浩特,内蒙古草原勘察设计有限责任公司,1,1,2024,2024,企业,否,否,P3-候选观察,建议补录进企业主表
内蒙古银宏能源开发有限公司,91150625772208549T; 12100000466007570L; 913404003280242173,鄂尔多斯,内蒙古银宏能源开发有限公司; 中国矿业大学; 平安煤炭开采工程技术研究院有限责任公司,1,1,2022,2022,企业,否,否,P3-候选观察,建议补录进企业主表
