申请号,专利名称,申请年份,申请人,主导申请人名称,当前权利人,专利表统一社会信用代码,建议匹配企业,建议匹配信用代码,建议匹配方式,人工复核原因
CN202411523043.8,基于随机森林和一类分类策略的电力线目标提取方法,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202111302408.0,一种基于目标追踪的配网线路巡检方法及相关装置,2021,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,91440000730486030B; 9144060073757157XN,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411571449.3,基于无人机多源遥感的输电线路树障隐患自动识别方法,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411603286.2,输电线路的巡检方法、装置、计算机程序产品和巡检系统,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411802595.2,一种针对架空导线的巡检系统及巡检平台,2024,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411543844.0,一种低空飞行巡检的自适应检测及检测系统,2024,深圳市喜悦智慧实验室有限公司,深圳市喜悦智慧实验室有限公司,深圳市喜悦智慧实验室有限公司,91440300326543953W,深圳市喜悦智慧数据有限公司,91440300319512147W,相似名称候选(标准名),未匹配到企业；主导申请人为高校或科研机构；存在高相似候选:0.815
CN202411560393.1,一种多机巢异地起降的无人机自主巡检方法及系统,2024,深圳市喜悦智慧实验室有限公司,深圳市喜悦智慧实验室有限公司,深圳市喜悦智慧实验室有限公司,91440300326543953W,深圳市喜悦智慧数据有限公司,91440300319512147W,相似名称候选(标准名),未匹配到企业；主导申请人为高校或科研机构；存在高相似候选:0.815
CN202411425048.7,基于SAE的高压输电线路断股缺陷识别检测方法,2024,广东电网有限责任公司; 广东顺畅科技有限公司; 广东工业大学,广东电网有限责任公司,广东电网有限责任公司; 广东顺畅科技有限公司; 广东工业大学,91440000730486030B; 91440703781166336P; 12440000455860226X,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411802635.3,基于无人机集群的变电站巡检方法、电子设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司珠海供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司珠海供电局,91440000730486030B; 91440400736180497L,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411744338.8,无人机巡检图像的强化方法、装置、电子设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411917903.6,输电塔的地址确定方法、装置、计算机可读存储介质和处理器,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411773125.8,无人机巡检导航方法、系统、电子设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411773216.1,无人机巡检图像的重建方法、装置、电子设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411773215.7,无人机巡检对象的照明方法、装置、电子设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311400922.7,一种航拍图像输电线路细小金具识别方法,2023,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,91445302736165326Y,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202311755202.2,一种无人机巡检方法、系统、设备和介质,2023,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311667592.8,一种基于无人机巡检的图像边缘检测方法及装置,2023,广东电网有限责任公司; 广东电网有限责任公司电力科学研究院,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司电力科学研究院,91440000730486030B; 91440000890323118Q,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311803596.4,无人机巡检路径优化方法、装置、电子设备和存储介质,2023,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410252740.8,一种输电线路缺陷识别方法、装置、设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410083622.9,面向输电线路的安全隐患检测方法及装置,2024,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,91445302736165326Y,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410361034.7,电力设备的无人机巡检方法、装置和电子设备,2024,广东电网有限责任公司; 广东电网有限责任公司云浮供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司云浮供电局,91440000730486030B; 91445302736165326Y,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311347115.3,路面巡检方法、装置、设备及可读存储介质,2023,深圳市思友科技有限公司,深圳市思友科技有限公司,深圳市思友科技有限公司,91440300MA5EKYTY3C,深圳市大疆灵眸科技有限公司,914403000589938852,相似名称候选(曾用名),未匹配到企业；存在高相似候选:0.909
CN202111447233.2,无人机的巡检装置切换方法、装置、电子设备及存储介质,2021,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,91440000730486030B; 914419007385933083,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202011359543.4,一种电力线巡检影像密集匹配方法,2020,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,914412001952813907,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202010548758.4,一种输电线路无人机巡检数据处理方法,2020,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,91440000730486030B; 9144060073757157XN,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202110844331.3,一种输电线路巡检机器人增稳控制方法及装置,2021,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202111065829.6,立体化输电走廊山火监测装置及方法,2021,广东电网有限责任公司; 广东电网有限责任公司电力科学研究院,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司电力科学研究院,91440000730486030B; 91440000890323118Q,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202110327157.5,一种输电线路远距离智能巡检系统及方法,2021,广东电网有限责任公司珠海供电局,广东电网有限责任公司珠海供电局,广东电网有限责任公司珠海供电局,91440400736180497L,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202011467027.3,多机协同巡检系统,2020,广东电网有限责任公司佛山供电局; 南方电网数字电网研究院有限公司,广东电网有限责任公司佛山供电局,南方电网数字电网科技(广东)有限公司,9144060073757157XN; 91440000MA4WCUGX22,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),多申请人；未匹配到企业；主导申请人与当前权利人不一致；存在高相似候选:0.867
CN202210760258.6,输电线路巡检系统部署方法、装置、存储介质和设备,2022,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,91440000730486030B; 9144060073757157XN,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202011468169.1,接力的无人机巡检系统,2020,广东电网有限责任公司佛山供电局; 南方电网数字电网研究院有限公司,广东电网有限责任公司佛山供电局,南方电网数字电网科技(广东)有限公司,9144060073757157XN; 91440000MA4WCUGX22,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),多申请人；未匹配到企业；主导申请人与当前权利人不一致；存在高相似候选:0.867
CN202110949156.4,一种输电线路目标缺陷检测示警方法及系统,2021,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202110950594.2,一种基于无人机的输电线路监测方法及装置,2021,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202210373046.2,巡检装置、方法、无人机、系统和存储介质,2022,广东电网有限责任公司佛山供电局,广东电网有限责任公司佛山供电局,广东电网有限责任公司佛山供电局,9144060073757157XN,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410490339.8,面向电力巡检的无人机航线确定方法、装置和电子设备,2024,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,91445302736165326Y,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410727633.6,一种配电网巡检方法、装置、电子设备和存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,91440000730486030B; 914414000072087795,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410667797.4,一种轻量化的多无人机电网巡检故障识别方法及系统,2024,广东电网有限责任公司信息中心,广东电网有限责任公司信息中心,广东电网有限责任公司信息中心,91440104693553264E,广东电网有限责任公司,91440000730486030B,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.833
CN202410901399.4,一种巡检业务管理系统,2024,广州中科智云科技有限公司,广州中科智云科技有限公司,广州中科智云科技有限公司,91440101MA5AK5454X,广州中科云图智能科技有限公司,91440101MA59P95W94,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.846
CN202410808446.0,一种变电站内无人机巡检方法、装置、设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司潮州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司潮州供电局,91440000730486030B; 914451001981756656,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410862034.5,输电线路识别方法、装置、电子设备和存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410858762.9,基于改进粒子群算法的无人机电力巡线三维航迹规划方法,2024,广东电网有限责任公司江门供电局,广东电网有限责任公司江门供电局,广东电网有限责任公司江门供电局,9144070361774339XT,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410836070.4,一种基于计算机视觉的电力线三维安全通道建立方法,2024,广东电网有限责任公司江门供电局,广东电网有限责任公司江门供电局,广东电网有限责任公司江门供电局,9144070361774339XT,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410963780.3,基于无人机的输电线路检测方法,2024,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411222671.2,考虑巡检需求紧急程度的无人机自主巡检方法和装置,2024,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,91445302736165326Y,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410976194.2,基于无人机巡检的轻量化目标检测方法及装置,2024,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,91445302736165326Y,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202411226114.8,无人机的巡检航线规划方法、装置、设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,91440000730486030B; 91441300617890883M,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411175461.2,电力线路的巡检方法、装置、无人机及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
