公司名称,统一社会信用代码,成立日期,所属城市,所属区县,注册地址,曾用名,经营范围,企业(机构)类型,天眼评分,企业标准名,企业简称,企业类型标签,成立年份分层,样本标记,样本分层标签,产业链环节,产业链判定依据,企业规模,参保人数,法定代表人,登记状态,注册资本,实缴资本,官网,企业简介,数据来源
深圳蜂网低空经济产业控股有限公司,91440300MAEPW6R08E,2025-07-25,深圳市,南山区,深圳市南山区粤海街道蔚蓝海岸社区创业路1777号海信南方大厦2502,-,航空运营支持服务；航空运输设备销售；航空商务服务；智能无人飞行器制造；智能无人飞行器销售；数字文化创意技术装备销售；信息系统集成服务；信息系统运行维护服务；以自有资金从事投资活动；智能机器人的研发；民用航空材料销售；导航、测绘、气象及海洋专用仪器销售；国内货物运输代理；航空运输货物打包服务；社会经济咨询服务；租赁服务（不含许可类租赁服务）；运输设备租赁服务；充电控制设备租赁；物联网技术研发；物联网设备销售；物联网应用服务；数字技术服务；物联网技术服务；大数据服务；数据处理服务；互联网数据服务；软件开发；新兴能源技术研发；新兴软件和新型信息技术服务；智能机器人销售；工业机器人安装、维修；科技中介服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；新材料技术推广服务；货物进出口；工程管理服务；技术进出口；农业园艺服务；智能农业管理；农业机械服务；农业机械租赁；森林防火服务；消防技术服务；农产品智能物流装备销售；道路货物运输站经营；森林公园管理；林业有害生物防治服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动） 通用航空服务；民用机场运营；民用航空器维修；民用航空维修人员培训；飞行训练；民用航空器驾驶员培训；测绘服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司,73,深圳蜂网低空经济产业控股有限公司,蜂网低空经济产业控股,投资发展类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
天链（梅州）低空经济发展有限公司,91441402MAEPYGBE9N,2025-07-28,梅州市,梅江区,梅州市梅江区三角镇客都大道东汇城D7栋1204-2室,-,一般项目：人工智能行业应用系统集成服务；智能无人飞行器销售；服务消费机器人销售；智能农业管理；智能农机装备销售；智能机器人销售；可穿戴智能设备销售；人工智能公共数据平台；人工智能通用应用系统；人工智能公共服务平台技术咨询服务；信息系统集成服务；互联网数据服务；运输设备租赁服务；农、林、牧、副、渔业专业机械的销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：通用航空服务；民用航空器驾驶员培训；民用机场运营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司(自然人独资),53,天链(梅州)低空经济发展有限公司,天链(梅州)低空经济发展,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、系统集成,,,,存续,,,,,天眼查关键词企业
深圳市影石云低空经济有限公司,91440300MAER7DM94R,2025-07-31,深圳市,罗湖区,深圳市罗湖区南湖街道嘉北社区迎春路12号海外联谊大厦1319（入驻深圳八千店商务秘书有限公司）,-,人工智能基础软件开发；人工智能应用软件开发；软件开发；区块链技术相关软件和服务；人工智能公共服务平台技术咨询服务；互联网数据服务；人工智能公共数据平台；人工智能基础资源与技术平台；大数据服务；人工智能理论与算法软件开发；智能机器人的研发；数字文化创意软件开发；人工智能通用应用系统；信息技术咨询服务；法律咨询（不含依法须律师事务所执业许可的业务）；信息咨询服务（不含许可类信息咨询服务）；市场营销策划；社会经济咨询服务；会议及展览服务；项目策划与公关服务；专业设计服务；平面设计；咨询策划服务；文艺创作；组织文化艺术交流活动；国内贸易代理；互联网销售（除销售需要许可的商品）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动） 无,有限责任公司(自然人独资),47,深圳市影石云低空经济有限公司,影石云低空经济,服务平台类,2023-2025,否,,下游,服务、应用,,,,存续,,,,,天眼查关键词企业
茂名市航宇低空经济有限公司,91440982MAETGN471Y,2025-08-08,茂名市,化州市,化州市鉴江街道樟九村工艺美术瓷厂内第3栋厂房一楼,-,许可项目：通用航空服务；测绘服务；民用航空器维修；民用航空器驾驶员培训。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：工程和技术研究和试验发展；新材料技术研发；软件开发；电机及其控制系统研发；智能机器人的研发；人工智能应用软件开发；智能无人飞行器销售；智能无人飞行器制造；租赁服务（不含许可类租赁服务）；特种设备出租；人工智能基础软件开发；货物进出口；进出口代理；摄像及视频制作服务；组织体育表演活动；组织文化艺术交流活动；导航、测绘、气象及海洋专用仪器销售；计量技术服务；地质勘查技术服务；人工智能通用应用系统；卫星技术综合应用系统集成；人工智能行业应用系统集成服务；日用电器修理；专用设备修理；森林防火服务；数据处理服务；计算机软硬件及辅助设备零售；仪器仪表修理；仪器仪表销售；通用设备修理；通信传输设备专业修理；民用航空材料销售；航空运输设备销售；国内集装箱货物运输代理；电子产品销售；通讯设备销售；网络设备销售；计算器设备销售；机械设备研发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；人力资源服务（不含职业中介活动、劳务派遣服务）；信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；物联网技术服务；人工智能公共数据平台；可穿戴智能设备销售；教学专用仪器销售；教育教学检测和评价活动；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；国内货物运输代理；航空运输货物打包服务；航空国际货物运输代理；国际货物运输代理；供应链管理服务；技术进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,有限责任公司(自然人独资),47,茂名市航宇低空经济有限公司,茂名市航宇低空经济,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
河源市科明低空经济有限公司,91441602MAET3E038C,2025-08-13,河源市,源城区,河源市新市区永和路南边黄沙大道西边泰和中央公园6栋141号-1,-,许可项目：通用航空服务；测绘服务；民用机场运营；飞行训练；飞行签派员培训。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：智能无人飞行器销售；智能无人飞行器制造；农业专业及辅助性活动；装卸搬运；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；智能农业管理；农作物收割服务；农业机械服务；农业机械销售；农业机械租赁；农、林、牧、副、渔业专业机械的销售；化肥销售；肥料销售；林业机械服务；人工造林；森林改培；智能机器人销售；导航、测绘、气象及海洋专用仪器销售；建筑物清洁服务；专业保洁、清洗、消毒服务；人工智能行业应用系统集成服务；人工智能通用应用系统；人工智能基础资源与技术平台；农作物病虫害防治服务；人工智能公共服务平台技术咨询服务；航空商务服务；航空运营支持服务；信息系统集成服务；消防技术服务；网络技术服务；信息技术咨询服务；物联网技术服务；数字技术服务；工程管理服务；环境保护监测；紧急救援服务；智能机器人的研发；国内贸易代理；货物进出口；技术进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,有限责任公司(自然人投资或控股),48,河源市科明低空经济有限公司,河源市科明低空经济,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、测绘、系统集成,,,,存续,,,,,天眼查关键词企业
深圳市影翎云低空经济有限公司,91440300MAERK9TA7G,2025-08-18,深圳市,罗湖区,深圳市罗湖区南湖街道嘉北社区迎春路12号海外联谊大厦1319（入驻深圳八千店商务秘书有限公司）,-,软件开发；人工智能基础软件开发；人工智能应用软件开发；智能机器人的研发；数字文化创意软件开发；人工智能理论与算法软件开发；区块链技术相关软件和服务；人工智能公共数据平台；大数据服务；人工智能通用应用系统；信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；市场营销策划；企业形象策划；社会经济咨询服务；广告设计、代理；会议及展览服务；图文设计制作；项目策划与公关服务；专业设计服务；平面设计；咨询策划服务；组织文化艺术交流活动；互联网数据服务；互联网销售（除销售需要许可的商品）；国内贸易代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动） 无,有限责任公司(自然人独资),47,深圳市影翎云低空经济有限公司,影翎云低空经济,服务平台类,2023-2025,否,,下游,服务、应用,,,,存续,,,,,天眼查关键词企业
广东金鲲低空经济发展有限公司,91441900MAEUUEL56Q,2025-08-21,东莞市,东莞市,广东省东莞市清溪镇清溪北环路301号1栋109室,-,许可项目：民用航空器（发动机、螺旋桨）生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：人工智能行业应用系统集成服务；摄像及视频制作服务；智能机器人的研发；智能无人飞行器制造；智能无人飞行器销售；电机制造；电池制造；电池零配件生产；电池零配件销售；机械电气设备制造；玩具制造；玩具销售；大数据服务；互联网销售（除销售需要许可的商品）；数字视频监控系统制造；照相机及器材制造；货物进出口；技术进出口；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；信息技术咨询服务；蓄电池租赁；服务消费机器人制造；服务消费机器人销售；新能源汽车换电设施销售；气体、液体分离及纯净设备制造；站用加氢及储氢设施销售；发电机及发电机组制造；五金产品制造；五金产品批发。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,其他有限责任公司,67,广东金鲲低空经济发展有限公司,金鲲低空经济发展,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、系统集成,,,,存续,,,,,天眼查关键词企业
行者无疆低空经济（佛山）有限公司,91440604MAETLD7DXC,2025-08-21,佛山市,顺德区,广东省佛山市顺德区大良街道五沙社区顺诚南路2号五沙珑滨熙园9栋1516房,-,许可项目：通用航空服务；测绘服务；飞行训练；公共航空运输；民用机场运营；民用航空器驾驶员培训；旅游业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；航空商务服务；航空运输货物打包服务；智能无人飞行器制造；智能无人飞行器销售；民用航空材料销售；运输设备租赁服务；科普宣传服务；技术进出口；货物进出口；信息系统集成服务；软件开发；工业机器人销售；智能机器人的研发；人工智能公共数据平台；人工智能双创服务平台；人工智能基础资源与技术平台；雷达及配套设备制造；导航、测绘、气象及海洋专用仪器制造；导航、测绘、气象及海洋专用仪器销售；会议及展览服务；国内贸易代理；消防器材销售；安全、消防用金属制品制造；安防设备制造；安防设备销售；紧急救援服务；电线、电缆经营；业务培训（不含教育培训、职业技能培训等需取得许可的培训）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,有限责任公司(自然人独资),58,行者无疆低空经济(佛山)有限公司,行者无疆低空经济(佛山,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
茂名市中鹏低空经济发展有限公司,91440904MAERYC814B,2025-08-21,茂名市,电白区,茂名市电白区水东街道新湖区D区中61号之三、62号第五层至第九层901房,茂名中鹏企业管理咨询有限公司,许可项目：通用航空服务；民用航空器维修；民用航空器零部件设计和生产；民用航空器（发动机、螺旋桨）生产；测绘服务；飞行训练；公共航空运输；民用航空油料检测服务；建设工程施工；建设工程设计；建设工程质量检测。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：以自有资金从事投资活动；航空运营支持服务；紧急救援服务；智能无人飞行器制造；人工智能硬件销售；软件开发；航空商务服务；人工智能行业应用系统集成服务；智能无人飞行器销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；公共安全管理咨询服务；工程管理服务；工程技术服务（规划管理、勘察、设计、监理除外）；工程和技术研究和试验发展；数字文化创意软件开发；人工智能应用软件开发；大数据服务；数据处理服务；人工智能公共数据平台；人工智能公共服务平台技术咨询服务；运输设备租赁服务；充电控制设备租赁；蓄电池租赁；储能技术服务；导航、测绘、气象及海洋专用仪器销售；专用设备修理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,有限责任公司(自然人投资或控股),58,茂名市中鹏低空经济发展有限公司,茂名市中鹏低空经济发展,投资发展类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
揭阳市云冀低空经济发展有限公司,91445202MAETKJWJ9K,2025-09-01,揭阳市,榕城区,揭阳市榕城区仙桥街道山前村广汕公路北侧404号,-,许可项目：通用航空服务；飞行训练；民用航空器驾驶员培训；民用航空维修人员培训；飞行签派员培训；民用航空器维修；测绘服务；地质灾害治理工程施工；建设工程勘察；建设工程施工；演出场所经营；演出经纪；水路普通货物运输。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件销售；软件开发；软件外包服务；信息技术咨询服务；电池销售；试验机制造；试验机销售；智能无人飞行器销售；智能无人飞行器制造；智能机器人的研发；智能机器人销售；工业机器人制造；工业机器人销售；工业机器人安装、维修；服务消费机器人制造；服务消费机器人销售；智能车载设备销售；人工智能行业应用系统集成服务；人工智能通用应用系统；人工智能基础软件开发；人工智能公共数据平台；人工智能硬件销售；地理遥感信息服务；大数据服务；数据处理服务；航空商务服务；航空运营支持服务；科普宣传服务；网络与信息安全软件开发；通讯设备修理；民用航空材料销售；航空运输设备销售；通讯设备销售；电子产品销售；园区管理服务；租赁服务（不含许可类租赁服务）；国内贸易代理；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；体验式拓展活动及策划；特种作业人员安全技术培训；会议及展览服务；体育赛事策划；体育竞赛组织；咨询策划服务；广告制作；广告发布；广告设计、代理；组织文化艺术交流活动；文艺创作；其他文化艺术经纪代理；摄像及视频制作服务；数字内容制作服务（不含出版发行）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,有限责任公司(自然人投资或控股),48,揭阳市云冀低空经济发展有限公司,揭阳市云冀低空经济发展,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
中科天予（深圳）低空经济科技有限公司,91440300MAETKFNC3D,2025-09-01,深圳市,龙华区,深圳市龙华区民治街道新牛社区万众城辉华大厦1栋5单元609,-,工程和技术研究和试验发展；软件开发；智能无人飞行器制造；智能无人飞行器销售；农作物病虫害防治服务；服务消费机器人制造；服务消费机器人销售；数字技术服务；信息技术咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；消防技术服务；新材料技术推广服务；物联网技术研发；智能农业管理；农业专业及辅助性活动；数字内容制作服务（不含出版发行）；互联网数据服务；会议及展览服务；紧急救援服务；民用航空材料销售；航空运输设备销售；航空运输货物打包服务；信息系统运行维护服务；信息系统集成服务；数据处理和存储支持服务；网络与信息安全软件开发；地理遥感信息服务；旅游开发项目策划咨询；园区管理服务；游览景区管理；休闲观光活动；科普宣传服务；体验式拓展活动及策划；激光打标加工；通用设备制造（不含特种设备制造）；机械设备研发；消防器材销售；森林防火服务；软件销售；数字文化创意内容应用服务；数字创意产品展览展示服务；品牌管理；娱乐性展览；票务代理服务；货物进出口；技术进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动） 通用航空服务；飞行训练；民用航空器驾驶员培训；民用航空器维修；公共航空运输；测绘服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司,75,中科天予(深圳)低空经济科技有限公司,中科天予(深圳)低空经济科技,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
深圳市海之林低空经济有限公司,91440300MAEURBA27F,2025-09-01,深圳市,南山区,深圳市南山区西丽街道百旺社区牛成村牛成路49号101,-,智能无人飞行器销售；日用电器修理；智能机器人的研发；人工智能基础软件开发；人工智能理论与算法软件开发；人工智能应用软件开发；软件开发；网络与信息安全软件开发；智能机器人销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；租赁服务（不含许可类租赁服务）；运输设备租赁服务；物联网技术研发；物联网技术服务；物联网设备销售；安全咨询服务；体验式拓展活动及策划；航空运营支持服务；航空运输设备销售；航空运输货物打包服务；智能物料搬运装备销售；智能无人飞行器制造；数字文化创意技术装备销售；数字文化创意软件开发；数字内容制作服务（不含出版发行）；站用加氢及储氢设施销售；充电控制设备租赁；电动汽车充电基础设施运营；信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；专业设计服务；规划设计管理；广告设计、代理；图文设计制作；平面设计；农业机械服务；外卖递送服务；森林防火服务；地质勘查技术服务；基础地质勘查；货物进出口；技术进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动） 通用航空服务；民用航空器维修；安全生产检验检测；安全评价业务；测绘服务；民用航空器驾驶员培训。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司(自然人独资),63,深圳市海之林低空经济有限公司,海之林低空经济,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
深圳诺亚低空经济有限公司,91440300MAEWEQXF1H,2025-09-04,深圳市,龙华区,深圳市龙华区龙华街道清华社区和平路30号金凤凰豪苑C单元601,-,智能无人飞行器销售；智能无人飞行器制造；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；航空商务服务；组织体育表演活动；组织文化艺术交流活动；咨询策划服务；软件开发；软件销售；法律咨询（不含依法须律师事务所执业许可的业务）；汽车拖车、求援、清障服务；接受金融机构委托从事信息技术和流程外包服务（不含金融信息服务）；接受金融机构委托对信贷逾期户及信用卡透支户进行提醒通知服务（不含金融信息服务）；小微型客车租赁经营服务；企业管理咨询；民用航空材料销售；工业自动控制系统装置销售；电力电子元器件销售；电子元器件批发；网络设备销售；通信设备销售；新材料技术推广服务；人工智能公共服务平台技术咨询服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动） 通用航空服务；民用航空器驾驶员培训；飞行签派员培训；飞行训练。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司,47,深圳诺亚低空经济有限公司,诺亚低空经济,服务平台类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、控制系统,,,,存续,,,,,天眼查关键词企业
中科扬晟（深圳）低空经济科技有限公司,91440300MAEU32QE1D,2025-09-05,深圳市,龙华区,深圳市龙华区民治街道新牛社区万众城辉华大厦1栋5单元609,-,工程和技术研究和试验发展；软件开发；网络与信息安全软件开发；智能无人飞行器销售；服务消费机器人制造；服务消费机器人销售；数字技术服务；信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；科技中介服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；消防技术服务；新材料技术推广服务；物联网技术研发；智能农业管理；农业专业及辅助性活动；数字内容制作服务（不含出版发行）；互联网数据服务；会议及展览服务；信息系统运行维护服务；数据处理和存储支持服务；地理遥感信息服务；旅游开发项目策划咨询；园区管理服务；科普宣传服务；体验式拓展活动及策划；软件销售；数字文化创意内容应用服务；货物进出口；技术进出口；航空运输货物打包服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动） 通用航空服务；飞行训练；民用航空器驾驶员培训；民用航空器维修；公共航空运输。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司,75,中科扬晟(深圳)低空经济科技有限公司,中科扬晟(深圳)低空经济科技,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、遥感,,,,存续,,,,,天眼查关键词企业
中山市香山低空经济发展有限公司,91442000MAEU6LH75D,2025-09-09,中山市,中山市,中山市南朗街道翠亨新区东汇路46号湾区未来科技城1栋20层04之一,-,许可项目：商业非运输、私用大型航空器运营人、航空器代管人运行业务；雷电防护装置检测；民用航空器驾驶员培训。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：智能无人飞行器销售；人工智能硬件销售；服务消费机器人销售；工业机器人销售；智能机器人销售；机械设备销售；工业自动控制系统装置销售；信息安全设备销售；电子产品销售；安防设备销售；生态环境监测及检测仪器仪表销售；物联网设备销售；计算机软硬件及辅助设备零售；电力电子元器件销售；海洋水质与生态环境监测仪器设备销售；工业控制计算机及系统销售；水下系统和作业装备销售；环境监测专用仪器仪表销售；金属材料销售；货物进出口；技术进出口；电子、机械设备维护（不含特种设备）；人工智能基础软件开发；机械设备租赁；普通机械设备安装服务；国内贸易代理；工业设计服务；工业机器人安装、维修；机械设备研发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；人工智能行业应用系统集成服务；智能机器人的研发；卫星导航多模增强应用服务系统集成；信息系统集成服务；卫星遥感应用系统集成；智能水务系统开发；智能控制系统集成；信息技术咨询服务；软件开发；物联网技术服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,有限责任公司(外商投资企业投资),47,中山市香山低空经济发展有限公司,中山市香山低空经济发展,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、遥感,,,,存续,,,,,天眼查关键词企业
韶关市云科低空经济有限公司,91440281MAEX9YFH99,2025-09-10,韶关市,乐昌市,乐昌市乐昌产业转移工业园乐园大道21号南区综合楼601-02,-,许可项目：通用航空服务；民用航空器驾驶员培训；民用航空器维修；飞行训练；民用航空维修人员培训。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：智能无人飞行器销售；软件开发；人工智能硬件销售；租赁服务（不含许可类租赁服务）；电池销售；智能无人飞行器制造；农作物病虫害防治服务；智能机器人销售；电子元器件与机电组件设备销售；电子元器件零售；计算机软硬件及辅助设备零售；电子产品销售；光伏设备及元器件销售；信息技术咨询服务；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；教学用模型及教具销售；导航、测绘、气象及海洋专用仪器销售；地理遥感信息服务；航空运营支持服务；人工智能应用软件开发；农业机械服务；农业机械销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,有限责任公司(自然人独资),58,韶关市云科低空经济有限公司,韶关市云科低空经济,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
大黄蜂（深圳）低空经济发展有限公司,91440300MAEXUA8B4H,2025-09-15,深圳市,龙华区,深圳市龙华区观湖街道新田社区君新工业区28号龙华区人力资源服务产业园9号203,-,一般经营项目：智能无人飞行器制造；智能无人飞行器销售；智能机器人的研发；服务消费机器人销售；软件开发；人工智能应用软件开发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；通用设备修理；通信设备销售；照相器材及望远镜批发；照相机及器材销售；照相器材及望远镜零售；工程和技术研究和试验发展；信息技术咨询服务；信息系统集成服务；人工智能基础资源与技术平台；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；电工仪器仪表销售；智能仪器仪表销售；通讯设备销售；电子产品销售；机械设备租赁；机械设备销售；仪器仪表销售；工业自动控制系统装置销售；电子元器件批发；网络设备销售；电子元器件制造；电子元器件零售；计算机软硬件及外围设备制造；组织文化艺术交流活动；软件销售；教学用模型及教具销售；教学专用仪器销售；机械设备研发；信息咨询服务（不含许可类信息咨询服务）；互联网销售（除销售需要许可的商品）；租赁服务（不含许可类租赁服务）；教育咨询服务（不含涉许可审批的教育培训活动）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：互联网直播技术服务；民用航空器驾驶员培训；民用航空器维修；民用航空油料检测服务；通用航空服务；检验检测服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司,58,大黄蜂(深圳)低空经济发展有限公司,大黄蜂(深圳)低空经济发展,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、系统集成,,,,存续,,,,,天眼查关键词企业
广东中能华航低空经济产业有限公司,91440300MAEX418N60,2025-09-17,深圳市,福田区,深圳市福田区沙头街道天安社区深南大道6021号喜年中心A单元1820Z3,-,技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；智能机器人的研发；人工智能应用软件开发；人工智能行业应用系统集成服务；农作物病虫害防治服务；教学用模型及教具销售；特种设备销售；教育咨询服务（不含涉许可审批的教育培训活动）；招生辅助服务；会议及展览服务；教学专用仪器销售；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；组织文化艺术交流活动；组织体育表演活动；体验式拓展活动及策划；智能农业管理；新材料技术推广服务；办公设备耗材制造；计算器设备销售；信息系统集成服务；通信设备销售；电子产品销售；办公设备耗材销售；幻灯及投影设备销售；化工产品销售（不含许可类化工产品）；文化用品设备出租；体育场地设施工程施工；体育用品及器材批发；建筑材料销售；建筑装饰材料销售；安防设备销售；消防器材销售；消防技术服务；智能水务系统开发；租赁服务（不含许可类租赁服务）；软件开发；网络与信息安全软件开发；物联网技术服务；卫星遥感应用系统集成；信息系统运行维护服务；人工智能公共数据平台；环境保护监测；智能无人飞行器销售；数据处理服务；软件销售；导航、测绘、气象及海洋专用仪器销售；智能车载设备销售；汽车零部件及配件制造；智能机器人销售；通讯设备销售；机械电气设备销售；大数据服务；工业机器人销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动） 飞行训练；民用航空器驾驶员培训；民用航空器维修；民用航空器零部件设计和生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司(非自然人投资或控股的法人独资),67,广东中能华航低空经济产业有限公司,中能华航低空经济产业,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
广东中威低空经济产业有限公司,91440300MAEWNUQH31,2025-09-17,深圳市,福田区,深圳市福田区沙头街道天安社区深南大道6021号喜年中心A单元1820Z13,-,技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；智能机器人的研发；人工智能应用软件开发；人工智能行业应用系统集成服务；农作物病虫害防治服务；教学用模型及教具销售；特种设备销售；教育咨询服务（不含涉许可审批的教育培训活动）；招生辅助服务；会议及展览服务；教学专用仪器销售；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；组织文化艺术交流活动；组织体育表演活动；体验式拓展活动及策划；智能农业管理；新材料技术推广服务；办公设备耗材制造；计算器设备销售；信息系统集成服务；通信设备销售；电子产品销售；办公设备耗材销售；幻灯及投影设备销售；化工产品销售（不含许可类化工产品）；文化用品设备出租；体育场地设施工程施工；体育用品及器材批发；建筑材料销售；建筑装饰材料销售；安防设备销售；消防器材销售；消防技术服务；智能水务系统开发；租赁服务（不含许可类租赁服务）；软件开发；网络与信息安全软件开发；物联网技术服务；卫星遥感应用系统集成；信息系统运行维护服务；人工智能公共数据平台；环境保护监测；智能无人飞行器销售；数据处理服务；软件销售；导航、测绘、气象及海洋专用仪器销售；智能车载设备销售；汽车零部件及配件制造；智能机器人销售；通讯设备销售；机械电气设备销售；大数据服务；工业机器人销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动） 民用航空器驾驶员培训；民用航空器维修；民用航空器零部件设计和生产；飞行训练。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司（非自然人投资或控股的法人独资）,67,广东中威低空经济产业有限公司,中威低空经济产业,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
